"id","origin_zip","destination_zip","equipment_type","origin_city","origin_state","destination_city","destination_state","rate_source","duration","target_rate","avg_rate","max_rate","miles","fuel_surcharge","created_userid","created_at","cache_date","updated_at","updated_userid","meta_data"
29,"52801","33401",2,Davenport,IA,West Palm Beach,FL,Sonar,3,3067.74,3188.38,3240.90,1392.88,0.00,,2024-04-19 04:56:54.093,2024-04-18 18:30:00.000,2024-04-19 04:56:54.093,,null
30,"60133","23432",2,Bartlett,IL,Chuckatuck,VA,Sonar,3,1757.11,1866.35,1949.80,919.40,0.00,,2024-04-19 04:56:54.637,2024-04-18 18:30:00.000,2024-04-19 04:56:54.637,,null
31,"12202","16037",2,Albany,NY,Harmony,PA,Sonar,3,751.08,893.62,1084.15,469.75,0.00,,2024-04-19 04:56:55.230,2024-04-18 18:30:00.000,2024-04-19 04:56:55.230,,null
32,"29405","28134",2,Charleston,SC,Pineville,NC,Sonar,3,710.28,726.13,746.04,199.20,0.00,,2024-04-19 04:56:55.714,2024-04-18 18:30:00.000,2024-04-19 04:56:55.714,,null
33,"31520","71638",2,Altama,GA,Baxter,AR,Sonar,3,1017.44,1093.97,1174.61,815.16,0.00,,2024-04-19 04:56:55.848,2024-04-18 18:30:00.000,2024-04-19 04:56:55.848,,null
34,"17257","85201",2,Cleversburg,PA,Mesa,AZ,Sonar,3,3454.59,3672.81,3722.00,2261.13,0.00,,2024-04-19 04:56:56.166,2024-04-18 18:30:00.000,2024-04-19 04:56:56.166,,null
35,"43351","28301",2,Upper Sandusky,OH,East Fayetteville,NC,Sonar,3,1321.07,1393.39,1466.36,558.89,0.00,,2024-04-19 04:56:56.624,2024-04-18 18:30:00.000,2024-04-19 04:56:56.624,,null
36,"60107","44017",2,Streamwood,IL,Berea,OH,Sonar,3,970.39,1020.89,1060.00,382.98,0.00,,2024-04-19 04:56:56.986,2024-04-18 18:30:00.000,2024-04-19 04:56:56.986,,null
37,"15122","64101",2,Pittsburgh,PA,Kansas City,MO,Sonar,3,1544.12,1659.89,1784.47,840.00,0.00,,2024-04-19 04:56:57.470,2024-04-18 18:30:00.000,2024-04-19 04:56:57.470,,null
38,"15001","02451",2,Aliquippa,PA,North Waltham,MA,Sonar,3,1227.18,1327.28,1414.48,569.44,0.00,,2024-04-19 04:56:57.884,2024-04-18 18:30:00.000,2024-04-19 04:56:57.884,,null
39,"29501","12015",2,Florence,SC,Athens,NY,Sonar,3,1556.67,1626.79,1706.50,785.04,0.00,,2024-04-19 04:56:58.415,2024-04-18 18:30:00.000,2024-04-19 04:56:58.415,,null
40,"92251","85901",2,Imperial,CA,Show Low,AZ,Sonar,3,1012.42,1054.36,1116.33,437.10,0.00,,2024-04-19 04:56:58.522,2024-04-18 18:30:00.000,2024-04-19 04:56:58.522,,null
41,"72201","30071",2,Little Rock,AR,Berkeley Lake,GA,Sonar,3,1258.63,1316.32,1416.47,542.51,0.00,,2024-04-19 04:56:58.763,2024-04-18 18:30:00.000,2024-04-19 04:56:58.763,,null
42,"50021","79022",2,Ankeny,IA,Dalhart,TX,Sonar,3,1492.84,1624.45,1690.71,798.08,0.00,,2024-04-19 04:56:59.281,2024-04-18 18:30:00.000,2024-04-19 04:56:59.281,,null
43,"54801","43543",2,Spooner,WI,Holiday City,OH,Sonar,3,1124.59,1248.66,1358.48,629.56,0.00,,2024-04-19 04:56:59.886,2024-04-18 18:30:00.000,2024-04-19 04:56:59.886,,null
44,"21237","06492",2,Baltimore,MD,Wallingford,CT,Sonar,3,764.84,832.33,915.82,275.94,0.00,,2024-04-19 04:57:00.150,2024-04-18 18:30:00.000,2024-04-19 04:57:00.150,,null
45,"60601","19092",2,Chicago,IL,Philadelphia,PA,Sonar,3,1753.81,1868.91,1997.53,755.19,0.00,,2024-04-19 04:58:53.403,2024-04-18 18:30:00.000,2024-04-19 04:58:53.403,,null
46,"24382","27401",2,Stones Mill,VA,Greensboro,NC,Sonar,3,628.14,678.01,852.42,116.75,0.00,,2024-04-19 04:58:54.944,2024-04-18 18:30:00.000,2024-04-19 04:58:54.944,,null
47,"52001","18015",2,Center Grove,IA,Bethlehem,PA,Sonar,3,2015.37,2158.22,2304.50,918.69,0.00,,2024-04-19 04:58:55.849,2024-04-18 18:30:00.000,2024-04-19 04:58:55.849,,null
48,"27284","11763",2,Guthrie,NC,Gordon Heights,NY,Sonar,3,1207.81,1276.54,1383.11,585.73,0.00,,2024-04-19 04:58:56.470,2024-04-18 18:30:00.000,2024-04-19 04:58:56.470,,null
49,"62040","67062",2,Granite City,IL,Hesston,KS,Sonar,3,1153.31,1218.98,1371.72,458.01,0.00,,2024-04-19 04:58:56.733,2024-04-18 18:30:00.000,2024-04-19 04:58:56.733,,null
50,"18701","07094",2,Wilkes Barre,PA,Secaucus,NJ,Sonar,3,637.31,664.51,695.11,111.67,0.00,,2024-04-19 04:58:57.225,2024-04-18 18:30:00.000,2024-04-19 04:58:57.225,,null
51,"43725","04401",2,Cambridge,OH,Bangor,ME,Sonar,3,2189.22,2278.78,2345.12,966.91,0.00,,2024-04-19 04:58:57.642,2024-04-18 18:30:00.000,2024-04-19 04:58:57.642,,null
52,"77662","15901",2,North Vidor,TX,Johnstown,PA,Sonar,3,2670.22,2777.15,2869.79,1358.24,0.00,,2024-04-19 04:58:58.199,2024-04-18 18:30:00.000,2024-04-19 04:58:58.199,,null
53,"70112","78201",2,New Orleans,LA,Balcones Heights,TX,Sonar,3,858.45,936.00,1055.78,547.08,0.00,,2024-04-19 04:58:58.628,2024-04-18 18:30:00.000,2024-04-19 04:58:58.628,,null
54,"75941","78201",2,Burke,TX,Balcones Heights,TX,Sonar,3,623.56,721.75,803.01,345.35,0.00,,2024-04-19 04:58:59.212,2024-04-18 18:30:00.000,2024-04-19 04:58:59.212,,null
55,"44203","53202",2,Akron,OH,Milwaukee,WI,Sonar,3,713.47,771.31,846.07,451.89,0.00,,2024-04-19 04:58:59.806,2024-04-18 18:30:00.000,2024-04-19 04:58:59.806,,null
56,"40502","53702",2,Lexington,KY,Madison,WI,Sonar,3,756.79,810.39,868.96,518.33,0.00,,2024-04-19 04:59:00.289,2024-04-18 18:30:00.000,2024-04-19 04:59:00.289,,null
57,"77002","75078",2,Clutch City,TX,Prosper,TX,Sonar,3,618.00,650.62,1124.80,256.08,0.00,,2024-04-19 04:59:00.870,2024-04-18 18:30:00.000,2024-04-19 04:59:00.870,,null
58,"17011","06850",2,Camp Hill,PA,Norwalk,CT,Sonar,3,708.89,785.80,844.98,221.10,0.00,,2024-04-19 04:59:01.253,2024-04-18 18:30:00.000,2024-04-19 04:59:01.253,,null
59,"43351","28075",2,Upper Sandusky,OH,Harrisburg,NC,Sonar,3,1245.20,1301.40,1416.46,483.71,0.00,,2024-04-19 04:59:01.709,2024-04-18 18:30:00.000,2024-04-19 04:59:01.709,,null
60,"80012","78201",2,Aurora,CO,Balcones Heights,TX,Sonar,3,1312.09,1354.13,1388.69,933.71,0.00,,2024-04-19 04:59:02.081,2024-04-18 18:30:00.000,2024-04-19 04:59:02.081,,null
61,"78040","37743",2,Laredo,TX,Baileyton,TN,Sonar,3,2317.12,2402.52,2489.62,1202.23,0.00,,2024-04-19 04:59:02.681,2024-04-18 18:30:00.000,2024-04-19 04:59:02.681,,null
62,"78040","13146",2,Laredo,TX,Savannah,NY,Sonar,3,3750.36,3814.26,3842.12,1871.71,0.00,,2024-04-19 04:59:03.209,2024-04-18 18:30:00.000,2024-04-19 04:59:03.209,,null
63,"79323","60601",2,Denver City,TX,Chicago,IL,Sonar,3,1541.28,1631.51,1742.48,1191.29,0.00,,2024-04-19 05:40:54.478,2024-04-18 18:30:00.000,2024-04-19 05:40:54.478,,null
64,"60803","60601",1,Alsip,IL,Chicago,IL,Sonar,3,1135.27,1287.61,2228.84,8.25,0.00,,2024-04-19 05:40:54.885,2024-04-18 18:30:00.000,2024-04-19 05:40:54.885,,null
65,"79323","60803",2,Denver City,TX,Alsip,IL,Sonar,3,1541.28,1631.51,1742.48,1187.35,0.00,,2024-04-19 05:42:24.932,2024-04-18 18:30:00.000,2024-04-19 05:42:24.932,,null
66,"60803","10001",2,Alsip,IL,GPO,NY,Sonar,3,1838.14,1977.91,2133.05,791.34,0.00,,2024-04-19 05:42:25.277,2024-04-18 18:30:00.000,2024-04-19 05:42:25.277,,null
67,"60605","79323",2,Chicago,IL,Denver City,TX,Sonar,3,2441.44,2505.47,2573.76,1193.43,0.00,,2024-04-19 05:42:25.673,2024-04-18 18:30:00.000,2024-04-19 05:42:25.673,,null
68,"60803","80012",2,Alsip,IL,Aurora,CO,Sonar,3,3154.52,3287.70,3364.54,1077.11,0.00,,2024-04-19 05:44:41.436,2024-04-18 18:30:00.000,2024-04-19 05:44:41.436,,"{""effective_origin_radius"":154.95333333333335,""effective_dest_radius"":25.54333333333333,""effective_timeframe_in_days"":10.216666666666669,""effective_load_count"":155.66666666666666,""effective_miles"":1077.1051077033333,""lane_confidence"":5.000000000000001,""total_load_count"":193.33333333333331}"
69,"60803","60601",2,Alsip,IL,Chicago,IL,Sonar,3,356.00,404.02,461.57,54.18,0.00,,2024-04-19 05:46:07.798,2024-04-18 18:30:00.000,2024-04-19 05:46:07.798,,"{""effective_origin_radius"":49.30666666666666,""effective_dest_radius"":31.416666666666664,""effective_timeframe_in_days"":10.316666666666666,""effective_load_count"":624.3333333333334,""effective_miles"":54.17537534466666,""lane_confidence"":0.9999999999999998,""total_load_count"":877.6666666666667}"
70,"60601","80012",2,Chicago,IL,Aurora,CO,Sonar,1,3131.58,3324.91,3364.05,1074.55,0.00,,2024-04-19 05:59:19.107,2024-04-18 18:30:00.000,2024-04-19 05:59:19.107,,"{""effective_origin_radius"":159.24,""effective_dest_radius"":23.97,""effective_timeframe_in_days"":10.08,""effective_load_count"":150.0,""effective_miles"":1074.546457894,""lane_confidence"":5.0,""total_load_count"":183.0}"
71,"42602","36420",1,Aaron,KY,Andalusia,AL,Sonar,3,1333.77,1481.90,1709.59,513.19,0.00,,2024-04-19 06:00:06.895,2024-04-18 18:30:00.000,2024-04-19 06:00:06.895,,"{""effective_origin_radius"":0.9999999999999998,""effective_dest_radius"":0.9999999999999998,""effective_timeframe_in_days"":10.063333333333334,""effective_load_count"":51.66666666666667,""effective_miles"":513.186975155,""lane_confidence"":0.9999999999999998,""total_load_count"":78.33333333333333}"
72,"42602","36420",1,Aaron,KY,Andalusia,AL,Sonar,1,1306.01,1444.49,1712.16,517.48,0.00,,2024-04-19 06:02:10.308,2024-04-18 18:30:00.000,2024-04-19 06:02:10.308,,"{""effective_origin_radius"":1.0,""effective_dest_radius"":1.0,""effective_timeframe_in_days"":10.06,""effective_load_count"":53.0,""effective_miles"":517.481709167,""lane_confidence"":1.0,""total_load_count"":78.0}"
73,"75165","77301",1,Waxahachie,TX,Beach,TX,Sonar,3,948.27,1205.34,1229.98,201.42,0.00,,2024-04-19 07:39:35.505,2024-04-18 18:30:00.000,2024-04-19 07:39:35.505,,null
74,"61602","43351",1,Peoria,IL,Upper Sandusky,OH,Sonar,3,1147.30,1183.42,1222.94,399.59,0.00,,2024-04-19 07:39:36.501,2024-04-18 18:30:00.000,2024-04-19 07:39:36.501,,null
75,"15122","46746",1,Pittsburgh,PA,Brighton,IN,Sonar,3,1191.69,1238.90,1312.17,330.12,0.00,,2024-04-19 07:39:37.640,2024-04-18 18:30:00.000,2024-04-19 07:39:37.640,,null
76,"72315","80012",1,Blytheville,AR,Aurora,CO,Sonar,3,2836.28,2989.47,3051.91,1072.75,0.00,,2024-04-19 07:39:37.818,2024-04-18 18:30:00.000,2024-04-19 07:39:37.818,,null
77,"71301","77002",1,Alex,LA,Clutch City,TX,Sonar,3,859.40,891.96,1000.73,266.98,0.00,,2024-04-19 07:39:38.652,2024-04-18 18:30:00.000,2024-04-19 07:39:38.652,,null
78,"77701","78108",1,Beaumont,TX,Cibolo,TX,Sonar,3,948.27,1205.34,1229.98,258.23,0.00,,2024-04-19 07:39:39.234,2024-04-18 18:30:00.000,2024-04-19 07:39:39.234,,null
79,"76031","79201",1,Cleburne,TX,Carey,TX,Sonar,3,948.27,1205.34,1229.98,261.18,0.00,,2024-04-19 07:39:39.973,2024-04-18 18:30:00.000,2024-04-19 07:39:39.973,,null
80,"76031","08832",1,Cleburne,TX,Keasbey,NJ,Sonar,3,3324.87,3375.85,3411.99,1546.97,0.00,,2024-04-19 07:39:40.651,2024-04-18 18:30:00.000,2024-04-19 07:39:40.651,,null
81,"30120","17101",1,Cartersville,GA,Harrisburg,PA,Sonar,3,1672.46,1753.59,1901.90,718.26,0.00,,2024-04-19 07:39:40.995,2024-04-18 18:30:00.000,2024-04-19 07:39:40.995,,null
82,"42539","97113",1,Clementsville,KY,Cornelius,OR,Sonar,3,4339.48,4409.70,4473.94,2461.08,0.00,,2024-04-19 07:39:41.372,2024-04-18 18:30:00.000,2024-04-19 07:39:41.372,,null
83,"23701","28734",1,Portsmouth,VA,Burningtown,NC,Sonar,3,1237.36,1345.49,1479.90,414.58,0.00,,2024-04-19 07:39:41.866,2024-04-18 18:30:00.000,2024-04-19 07:39:41.866,,null
84,"60538","55433",1,Boulder Hill,IL,Coon Rapids,MN,Sonar,3,1016.63,1078.66,1101.16,410.83,0.00,,2024-04-19 07:39:42.140,2024-04-18 18:30:00.000,2024-04-19 07:39:42.140,,null
85,"18101","27828",1,Allentown,PA,Farmville,NC,Sonar,3,1069.40,1119.87,1205.80,427.41,0.00,,2024-04-19 07:39:42.586,2024-04-18 18:30:00.000,2024-04-19 07:39:42.586,,null
86,"07047","02062",1,North Bergen,NJ,Norwood,MA,Sonar,3,1080.73,1301.00,1418.36,220.41,0.00,,2024-04-19 07:39:43.310,2024-04-18 18:30:00.000,2024-04-19 07:39:43.310,,null
87,"30028","18936",1,Cumming,GA,Montgomeryville,PA,Sonar,3,1698.60,1928.15,2020.34,785.86,0.00,,2024-04-19 07:39:44.003,2024-04-18 18:30:00.000,2024-04-19 07:39:44.003,,null
88,"89431","97003",1,Greenbrae,NV,Aloha,OR,Sonar,3,1986.02,2071.71,2146.58,605.38,0.00,,2024-04-19 07:39:45.016,2024-04-18 18:30:00.000,2024-04-19 07:39:45.016,,null
89,"79835","34601",1,Canutillo,TX,Brooksville,FL,Sonar,3,2368.27,2471.59,2619.63,1613.77,0.00,,2024-04-19 07:39:45.803,2024-04-18 18:30:00.000,2024-04-19 07:39:45.803,,null
90,"78040","23320",1,Laredo,TX,Chesapeake,VA,Sonar,3,2848.71,3017.03,3116.03,1682.25,0.00,,2024-04-19 07:39:47.098,2024-04-18 18:30:00.000,2024-04-19 07:39:47.098,,null
91,"19530","21219",1,Greenwich,PA,Baltimore,MD,Sonar,3,764.46,825.19,859.33,109.77,0.00,,2024-04-19 07:39:47.912,2024-04-18 18:30:00.000,2024-04-19 07:39:47.912,,null
92,"17101","01581",1,Harrisburg,PA,Westborough,MA,Sonar,3,1044.55,1216.74,1476.85,334.44,0.00,,2024-04-19 07:39:48.723,2024-04-18 18:30:00.000,2024-04-19 07:39:48.723,,null
93,"78040","54452",1,Laredo,TX,Corning,WI,Sonar,3,1847.68,1936.78,2016.58,1509.80,0.00,,2024-04-19 07:39:49.979,2024-04-18 18:30:00.000,2024-04-19 07:39:49.979,,null
94,"41008","46123",2,Carrollton,KY,Avon,IN,Sonar,3,589.51,632.40,659.33,130.46,0.00,,2024-04-19 07:42:12.240,2024-04-18 18:30:00.000,2024-04-19 07:42:12.240,,null
95,"33563","27401",1,Plant City,FL,Greensboro,NC,Sonar,3,1182.95,1311.25,1409.77,641.42,0.00,,2024-04-19 07:42:13.280,2024-04-18 18:30:00.000,2024-04-19 07:42:13.280,,null
96,"31401","73075",2,Savannah,GA,Pauls Valley,OK,Sonar,3,1586.19,1655.00,1728.61,1123.72,0.00,,2024-04-19 07:42:14.910,2024-04-18 18:30:00.000,2024-04-19 07:42:14.910,,null
97,"79323","60601",2,Denver City,TX,Chicago,IL,Sonar,1,1556.53,1642.50,1757.28,1191.29,0.00,,2024-04-19 08:07:45.475,2024-04-18 18:30:00.000,2024-04-19 08:07:45.475,,null
98,"60803","60601",1,Alsip,IL,Chicago,IL,Sonar,1,1152.63,1287.90,2328.54,8.25,0.00,,2024-04-19 08:07:45.828,2024-04-18 18:30:00.000,2024-04-19 08:07:45.828,,null
99,"49927","13063",2,Gaastra,MI,Fabius,NY,Sonar,3,2484.05,2592.94,2660.26,992.15,0.00,,2024-04-19 08:19:02.218,2024-04-18 18:30:00.000,2024-04-19 08:19:02.218,,"{""effective_origin_radius"":240.37333333333333,""effective_dest_radius"":224.73999999999998,""effective_timeframe_in_days"":10.63,""effective_load_count"":47.66666666666667,""effective_miles"":992.1450284496668,""lane_confidence"":3.666666666666666,""total_load_count"":62.66666666666667}"
100,"30450","36420",1,Aaron,GA,Andalusia,AL,Sonar,3,934.20,1099.36,1579.53,297.87,0.00,,2024-04-21 11:18:26.908,2024-04-20 18:30:00.000,2024-04-21 11:18:26.908,,"{""effective_origin_radius"":0.9999999999999998,""effective_dest_radius"":0.9999999999999998,""effective_timeframe_in_days"":10.926666666666666,""effective_load_count"":36.00000000000001,""effective_miles"":297.865338625,""lane_confidence"":0.9999999999999998,""total_load_count"":49.0}"
101,"30450","36420",1,Aaron,GA,Andalusia,AL,Sonar,1,932.88,1084.75,1510.35,286.74,0.00,,2024-04-21 11:19:41.453,2024-04-20 18:30:00.000,2024-04-21 11:19:41.453,,"{""effective_origin_radius"":1.0,""effective_dest_radius"":1.0,""effective_timeframe_in_days"":10.36,""effective_load_count"":34.0,""effective_miles"":286.739421661,""lane_confidence"":1.0,""total_load_count"":47.0}"
102,"30450","36420",1,Aaron,GA,Andalusia,AL,Sonar,2,943.13,1094.74,1544.62,292.93,0.00,,2024-04-21 11:19:41.473,2024-04-20 18:30:00.000,2024-04-21 11:19:41.473,,"{""effective_origin_radius"":1.0,""effective_dest_radius"":1.0,""effective_timeframe_in_days"":10.585,""effective_load_count"":34.0,""effective_miles"":292.93393472549997,""lane_confidence"":1.0,""total_load_count"":46.5}"
103,"19092","45133",2,Philadelphia,PA,Allensburg,OH,Sonar,3,1006.41,1052.24,1119.68,549.35,0.00,,2024-04-22 04:44:05.613,2024-04-21 18:30:00.000,2024-04-22 04:44:05.613,,null
104,"44502","60140",2,Youngstown,OH,Campton Hills,IL,Sonar,3,718.08,768.19,826.32,436.48,0.00,,2024-04-22 04:44:05.969,2024-04-21 18:30:00.000,2024-04-22 04:44:05.969,,null
105,"16146","56401",2,Sharon,PA,Baxter,MN,Sonar,3,1493.72,1590.25,1671.92,974.21,0.00,,2024-04-22 04:44:06.394,2024-04-21 18:30:00.000,2024-04-22 04:44:06.394,,null
106,"29650","21219",2,Greer,SC,Baltimore,MD,Sonar,3,1362.77,1455.45,1524.55,545.46,0.00,,2024-04-22 04:44:06.811,2024-04-21 18:30:00.000,2024-04-22 04:44:06.811,,null
107,"39455","78610",2,Baxterville,MS,Buda,TX,Sonar,3,927.73,1006.32,1104.21,601.86,0.00,,2024-04-22 04:44:07.278,2024-04-21 18:30:00.000,2024-04-22 04:44:07.278,,null
108,"89431","01013",2,Greenbrae,NV,Chicopee,MA,Sonar,3,4941.11,5143.19,5253.87,2793.44,0.00,,2024-04-22 04:44:07.677,2024-04-21 18:30:00.000,2024-04-22 04:44:07.677,,null
109,"71422","70401",2,Dodson,LA,Hammond,LA,Sonar,3,767.60,895.62,1319.93,239.05,0.00,,2024-04-22 04:51:43.631,2024-04-21 18:30:00.000,2024-04-22 04:51:43.631,,null
110,"61354","18704",2,Peru,IL,Courtdale,PA,Sonar,3,1792.07,1893.15,2033.67,751.98,0.00,,2024-04-22 04:51:54.103,2024-04-21 18:30:00.000,2024-04-22 04:51:54.103,,null
111,"31520","36830",2,Altama,GA,Auburn,AL,Sonar,3,607.07,654.77,733.28,254.35,0.00,,2024-04-22 04:51:58.873,2024-04-21 18:30:00.000,2024-04-22 04:51:58.873,,null
112,"45011","04967",2,City View Heights,OH,Pittsfield,ME,Sonar,3,2126.58,2222.13,2337.58,1073.38,0.00,,2024-04-22 04:51:59.365,2024-04-21 18:30:00.000,2024-04-22 04:51:59.365,,null
113,"36610","30025",2,Magazine,AL,Social Circle,GA,Sonar,3,942.20,989.96,1032.07,351.61,0.00,,2024-04-22 04:52:03.291,2024-04-21 18:30:00.000,2024-04-22 04:52:03.291,,null
114,"23451","83301",2,Virginia Beach,VA,Hollister,ID,Sonar,3,3882.88,4026.48,4131.63,2411.99,0.00,,2024-04-22 04:52:03.860,2024-04-21 18:30:00.000,2024-04-22 04:52:03.860,,null
115,"77550","75701",2,Galveston,TX,St Louis,TX,Sonar,3,619.66,682.61,728.33,228.31,0.00,,2024-04-22 04:52:05.607,2024-04-21 18:30:00.000,2024-04-22 04:52:05.607,,null
116,"52001","03833",2,Center Grove,IA,Brentwood,NH,Sonar,3,2417.38,2750.83,2886.27,1181.38,0.00,,2024-04-22 04:52:07.845,2024-04-21 18:30:00.000,2024-04-22 04:52:07.845,,null
117,"71635","48854",2,Crossett,AR,Mason,MI,Sonar,3,1388.03,1436.06,1483.29,922.37,0.00,,2024-04-22 04:52:09.815,2024-04-21 18:30:00.000,2024-04-22 04:52:09.815,,null
